variant,run_dir,best_val_acc,last_val_acc,num_parameters,model_size_MB,flops_macs,copied_to_trained_models,timestamp
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_114910,43.45830145371079,43.45830145371079,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_114910.pth,20251113_114910
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_114915,30.19637847487886,30.19637847487886,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_114915.pth,20251113_114915
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_114918,41.213976026523845,41.213976026523845,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_114918.pth,20251113_114918
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_181048,48.81407804131599,48.81407804131599,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181048.pth,20251113_181048
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_181054,37.2864065289467,37.2864065289467,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181054.pth,20251113_181054
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_181058,44.01938281050752,44.01938281050752,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181058.pth,20251113_181058
elu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_elu_20251113_181101,56.79673552665137,56.79673552665137,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181101.pth,20251113_181101
tanh,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_tanh_20251113_181105,45.83014537107881,45.83014537107881,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181105.pth,20251113_181105
kernel_5x5_all,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernel_5x5_all_20251113_181108,39.42871716398878,39.42871716398878,666443,2.542,18111232.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181108.pth,20251113_181108
kernel_7x7_first,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernel_7x7_first_20251113_181112,36.6233103800051,36.6233103800051,626635,2.39,11328256.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181112.pth,20251113_181112
act_selu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_act_selu_20251113_181116,34.48099974496302,34.48099974496302,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181116.pth,20251113_181116
kernel_mixed_531,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernel_mixed_531_20251113_181119,35.19510328997705,35.19510328997705,609099,2.324,6314752.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_181119.pth,20251113_181119
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_183733,47.74292272379495,47.74292272379495,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_183733.pth,20251113_183733
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_183738,36.342769701606734,36.342769701606734,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_183738.pth,20251113_183738
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_183742,43.534812547819435,43.534812547819435,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_183742.pth,20251113_183742
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_184801,51.87452180566182,51.87452180566182,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184801.pth,20251113_184801
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_184808,36.113236419280796,36.113236419280796,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184808.pth,20251113_184808
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_184814,42.33613874011732,42.33613874011732,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184814.pth,20251113_184814
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_184906,47.18184136699821,47.18184136699821,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184906.pth,20251113_184906
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_184912,32.746748278500384,32.746748278500384,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184912.pth,20251113_184912
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_184918,37.20989543483805,37.20989543483805,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184918.pth,20251113_184918
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_184952,45.29456771231828,45.29456771231828,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184952.pth,20251113_184952
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_184958,35.705177250701354,35.705177250701354,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_184958.pth,20251113_184958
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_185004,40.16832440703902,40.16832440703902,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185004.pth,20251113_185004
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_185105,43.76434583014537,43.76434583014537,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185105.pth,20251113_185105
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_185112,35.679673552665136,35.679673552665136,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185112.pth,20251113_185112
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_185118,42.718694210660544,42.718694210660544,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185118.pth,20251113_185118
elu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_elu_20251113_185123,54.78194338179036,54.78194338179036,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185123.pth,20251113_185123
tanh,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_tanh_20251113_185129,44.605967865340475,44.605967865340475,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185129.pth,20251113_185129
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_185227,49.57918898240245,49.57918898240245,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185227.pth,20251113_185227
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_185234,34.81254781943382,34.81254781943382,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185234.pth,20251113_185234
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_185240,37.77097679163479,37.77097679163479,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185240.pth,20251113_185240
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_185518,49.80872226472839,49.80872226472839,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185518.pth,20251113_185518
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_185525,35.475643968375415,35.475643968375415,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185525.pth,20251113_185525
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_185530,37.13338434072941,37.13338434072941,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_185530.pth,20251113_185530
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_191048,51.6704922213721,51.6704922213721,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191048.pth,20251113_191048
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_191055,36.87834736036725,36.87834736036725,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191055.pth,20251113_191055
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_191059,42.9737311910227,42.9737311910227,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191059.pth,20251113_191059
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_191229,47.385870951287934,47.385870951287934,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191229.pth,20251113_191229
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_191233,35.55215506248406,35.55215506248406,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191233.pth,20251113_191233
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_191237,40.142820709002805,40.142820709002805,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191237.pth,20251113_191237
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_191525,46.54424891609283,46.54424891609283,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191525.pth,20251113_191525
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_191529,34.863555215506246,34.863555215506246,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191529.pth,20251113_191529
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_191533,41.443509308849784,41.443509308849784,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_191533.pth,20251113_191533
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_192113,45.93216016322367,45.93216016322367,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_192113.pth,20251113_192113
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_192117,34.404488650854375,34.404488650854375,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_192117.pth,20251113_192117
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_192121,41.851568477429225,41.851568477429225,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_192121.pth,20251113_192121
remove_second_conv,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_remove_second_conv_20251113_193041,44.19790869676103,44.19790869676103,1196043,4.563,4840192.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_193041.pth,20251113_193041
kernels_3x3,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_kernels_3x3_20251113_193045,37.4649324152002,37.4649324152002,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_193045.pth,20251113_193045
leakyrelu,ablated_models/lenet_preset_manual_lr0.0001_bs64_drop0.5_leakyrelu_20251113_193048,41.62203519510329,41.62203519510329,624715,2.383,6904576.0,trained_models/best_lenet_ablation_lenet_preset_manual_lr0.0001_bs64_drop0.5_20251113_193048.pth,20251113_193048
